name,type,latitude,longitude,address,businessStatus,estbDate,facilityId,welfacilityId
숭의4동 행정복지센터,64 - 지역자치센터,37.46483916,126.6591374,인천광역시 미추홀구 경인로156번길 32,영업,19980411,20155752290,2817710100-1-00020218
몽탄면사무소,64 - 지역자치센터,34.93101168,126.5020798,전라남도 무안군 몽탄면 몽탄로 862,영업,19980411,20155754667,4684032030-1-10170000
서강동주민센터,64 - 지역자치센터,34.74113977,127.7258996,전라남도 여수시 서교1길 28,영업,20170627,20155754709,4613011300-1-08280000
옥도면사무소,64 - 지역자치센터,35.99309236,126.7100355,전북특별자치도 군산시 내항2길 125,영업,20090614,20155752459,4513010300-1-00010018
초산동주민센터,64 - 지역자치센터,0,0,전북특별자치도 정읍시 천변로226,영업,19980411,20155754851,4518010400-1-04120007
수원컨벤션센터,65 - 집회장,37.28582866,127.0594469,경기도 수원시 영통구 광교중앙로 140,영업,20160314,20155894523,4111710400-1-10170000
무주 밀모 관광농원,65 - 집회장,35.93241613,127.6695793,전북특별자치도 무주군 적상면 밀모길 79-14,영업,20121210,20155754905,4573033021-1-13060000
웨딩팰리스,65 - 집회장,34.82022163,126.4205921,전라남도 목포시 영산로 613,영업,20040115,20155755103,4611016000-1-08150012
군산새만금컨벤션센터,65 - 집회장,35.95006221,126.5861859,전북특별자치도 군산시 새만금북로 437,영업,20110920,20155755354,4513014700-1-08140000
별관동,65 - 집회장,34.7876993,126.3813164,전라남도 목포시 영산로29번길 9-1,영업,20061222,20155755777,4611013400-1-00010004
집회장,65 - 집회장,0,0,전북특별자치도 부안군 동진면 고마제로 11,영업,20010912,20155755799,4580032022-1-03460001
아크로웨딩타운,65 - 집회장,35.5600707,126.8352182,전북특별자치도 정읍시 서부산업도로 124-14,영업,19991103,20155755976,4518010800-1-02570021
웨딩의전당,65 - 집회장,35.84836918,127.159395,전북특별자치도 전주시 덕진구 백제대로 832,영업,20070919,20155759986,4511311500-1-07520047
스카이웨딩컨벤션,65 - 집회장,34.80333364,126.4670023,전라남도 무안군 삼향읍 남악로162번길 110,영업,20151117,20155760263,4684025622-1-26270000
교육문화복지센터,65 - 집회장,35.01749869,127.6189238,전라남도 광양시 옥룡면 신재로 627,영업,20210226,20155760333,4623032022-1-02430000
열린교회,65 - 집회장,34.81033566,126.3826468,전라남도 목포시 원산로 148-1,영업,20040420,20155757803,4611010300-1-09660000
고대농협 회의소,65 - 집회장,36.92441867,126.6002982,충청남도 당진시 고대면 고대로 24,영업,20181022,20155760638,4427031021-1-06760007
